1,200,,,1,7.153846154,,,1,2.652892562,,,1,,
2,367,340.3333333,,2,5.538461538,5.564102564,,2,3.923076923,3.704810341,,2,355.063,355.063
3,454,430,,3,4,4.262820513,,3,4.538461538,4.376068376,,3,235.005,235.005
4,469,450.3333333,,4,3.25,2.773809524,,4,4.666666667,4.429487179,,4,172.224,172.224
5,428,427.6666667,,5,1.071428571,1.773809524,,5,4.083333333,4.083333333,,5,65.54,65.54
6,386,383,,6,1,0.94047619,,6,3.5,3.527777778,,6,39.844,39.844
7,335,336.3333333,,7,0.75,0.797619048,,7,3,2.884615385,,7,26.8267,26.8267
8,288,290,,8,0.642857143,0.678571429,,8,2.153846154,2.301282051,,8,22.4039,22.4039
9,247,247,,9,0.642857143,0.642857143,,9,1.75,1.717948718,,9,20.9907,20.9907
10,206,208.3333333,,10,0.642857143,0.495238095,,10,1.25,1.333333333,,10,21.0139,21.0139
11,172,175.6666667,,11,0.2,0.319413919,,11,1,1.083333333,,11,14.4075,14.4075
12,149,150.6666667,,12,0.115384615,0.177591973,,12,1,1,,12,9.73734,9.73734
13,131,129.3333333,,13,0.217391304,0.149386845,,13,1,1,,13,9.54859,9.54859
14,108,109.3333333,,14,0.115384615,0.180369751,,14,1,1,,14,7.68092,7.68092
15,89,87.33333333,,15,0.208333333,0.133547009,,15,1,1,,15,8.22005,8.22005
16,65,67,,16,0.076923077,0.11262933,,16,1,1,,16,#VALUE!,#VALUE!
17,47,49.66666667,,17,0.052631579,0.073487916,,17,1,1,,17,#VALUE!,#VALUE!
18,37,37,,18,0.090909091,0.07814992,,18,1,1,,18,#VALUE!,#VALUE!
19,27,27,,19,0.090909091,0.090909091,,19,1,1,,19,#VALUE!,#VALUE!
20,17,,,20,0.090909091,,,20,1,,,20,0,
